candidate,frequency,links
equivalence relation,15,wikidata.org/wiki/Q3077964;wikidata.org/wiki/Q113993285;wikidata.org/wiki/Q114716538;wikidata.org/wiki/Q37357030;wikidata.org/wiki/Q106282669;wikidata.org/wiki/Q105549947;wikidata.org/wiki/Q59812866;wikidata.org/wiki/Q56209854;wikidata.org/wiki/Q56815643;wikidata.org/wiki/Q106767676
internal partial order,1,
partial order,3,wikidata.org/wiki/Q58457743;wikidata.org/wiki/Q56613738;wikidata.org/wiki/Q5454716;wikidata.org/wiki/Q7243229;wikidata.org/wiki/Q7100431;wikidata.org/wiki/Q76472517;wikidata.org/wiki/Q56227815;wikidata.org/wiki/Q57608881;wikidata.org/wiki/Q62043287;wikidata.org/wiki/Q58245854
reflective subcategory,7,wikidata.org/wiki/Q6101219;wikidata.org/wiki/Q25303775;wikidata.org/wiki/Q62038273;wikidata.org/wiki/Q58697027
stable regular epimorphism,1,
regular epimorphism,6,wikidata.org/wiki/Q72421964
reflector f,1,wikidata.org/wiki/Q15841934;wikidata.org/wiki/Q3931621;wikidata.org/wiki/Q7307334;wikidata.org/wiki/Q53761314;wikidata.org/wiki/Q56279559;wikidata.org/wiki/Q47471716;wikidata.org/wiki/Q7884069;wikidata.org/wiki/Q97611828;wikidata.org/wiki/Q56953123;wikidata.org/wiki/Q72624449
stable unit,3,wikidata.org/wiki/Q36255115;wikidata.org/wiki/Q34448599;wikidata.org/wiki/Q113575533;wikidata.org/wiki/Q85753965;wikidata.org/wiki/Q116453023;wikidata.org/wiki/Q60186565;wikidata.org/wiki/Q7946;wikidata.org/wiki/Q51269890;wikidata.org/wiki/Q51501398;wikidata.org/wiki/Q30353627
categorical galois structure,1,
galois structure,1,wikidata.org/wiki/Q766522;wikidata.org/wiki/Q3527167;wikidata.org/wiki/Q57937576;wikidata.org/wiki/Q57937641;wikidata.org/wiki/Q57918175;wikidata.org/wiki/Q57920062;wikidata.org/wiki/Q7425867;wikidata.org/wiki/Q66716745;wikidata.org/wiki/Q57937564;wikidata.org/wiki/Q57936321
category set,2,wikidata.org/wiki/Q13253780;wikidata.org/wiki/Q4167836;wikidata.org/wiki/Q36161;wikidata.org/wiki/Q106612246;wikidata.org/wiki/Q188451;wikidata.org/wiki/Q226183;wikidata.org/wiki/Q185478;wikidata.org/wiki/Q2518298;wikidata.org/wiki/Q189376;wikidata.org/wiki/Q381060
light factorization system,2,wikidata.org/wiki/Q114045065;wikidata.org/wiki/Q114088029;wikidata.org/wiki/Q114107067
light factorization,8,wikidata.org/wiki/Q76473757;wikidata.org/wiki/Q30558269;wikidata.org/wiki/Q100507054;wikidata.org/wiki/Q114238472;wikidata.org/wiki/Q114045065;wikidata.org/wiki/Q114045067;wikidata.org/wiki/Q114088029;wikidata.org/wiki/Q114045062;wikidata.org/wiki/Q114107067;wikidata.org/wiki/Q51630586
factorization system,19,wikidata.org/wiki/Q5428747;wikidata.org/wiki/Q55009312;wikidata.org/wiki/Q97614312;wikidata.org/wiki/Q97615607;wikidata.org/wiki/Q74585142;wikidata.org/wiki/Q87261368;wikidata.org/wiki/Q102634317;wikidata.org/wiki/Q44541242;wikidata.org/wiki/Q59046210;wikidata.org/wiki/Q58225545
topological interpretation,1,wikidata.org/wiki/Q73026208;wikidata.org/wiki/Q74509707;wikidata.org/wiki/Q74427580;wikidata.org/wiki/Q24816759;wikidata.org/wiki/Q115394305;wikidata.org/wiki/Q74544250;wikidata.org/wiki/Q74441550;wikidata.org/wiki/Q106825076;wikidata.org/wiki/Q43643127;wikidata.org/wiki/Q74032191
discrete space,3,wikidata.org/wiki/Q175116;wikidata.org/wiki/Q57608914;wikidata.org/wiki/Q60110247;wikidata.org/wiki/Q104091090;wikidata.org/wiki/Q27440778;wikidata.org/wiki/Q46550013;wikidata.org/wiki/Q39874490;wikidata.org/wiki/Q42117263;wikidata.org/wiki/Q110874862;wikidata.org/wiki/Q6481089
latter category,1,wikidata.org/wiki/Q36938184;wikidata.org/wiki/Q111601937;wikidata.org/wiki/Q19379043;wikidata.org/wiki/Q111165185;wikidata.org/wiki/Q112136659;wikidata.org/wiki/Q6853803;wikidata.org/wiki/Q69769249;wikidata.org/wiki/Q7295800;wikidata.org/wiki/Q17004957;wikidata.org/wiki/Q8466435
virtual double category,6,wikidata.org/wiki/Q19758875;wikidata.org/wiki/Q7669008
horizontal multi -,1,wikidata.org/wiki/Q58460601;wikidata.org/wiki/Q87874064;wikidata.org/wiki/Q72954190;wikidata.org/wiki/Q98738322;wikidata.org/wiki/Q98673673;wikidata.org/wiki/Q47643832;wikidata.org/wiki/Q34587066;wikidata.org/wiki/Q26359977;wikidata.org/wiki/Q84859755;wikidata.org/wiki/Q112949952
horizontal multi,1,wikidata.org/wiki/Q58460601;wikidata.org/wiki/Q87874064;wikidata.org/wiki/Q72954190;wikidata.org/wiki/Q98738322;wikidata.org/wiki/Q98673673;wikidata.org/wiki/Q47643832;wikidata.org/wiki/Q34587066;wikidata.org/wiki/Q26359977;wikidata.org/wiki/Q84859755;wikidata.org/wiki/Q112949952
multi - source,1,wikidata.org/wiki/Q6934498;wikidata.org/wiki/Q16954049;wikidata.org/wiki/Q16911580;wikidata.org/wiki/Q57622163;wikidata.org/wiki/Q21264328;wikidata.org/wiki/Q65475249;wikidata.org/wiki/Q67895297;wikidata.org/wiki/Q115523905;wikidata.org/wiki/Q64216753;wikidata.org/wiki/Q76471843
multi -,2,wikidata.org/wiki/Q529909;wikidata.org/wiki/Q1683337;wikidata.org/wiki/Q1327329;wikidata.org/wiki/Q167170;wikidata.org/wiki/Q5460332;wikidata.org/wiki/Q751424;wikidata.org/wiki/Q159821;wikidata.org/wiki/Q51031626;wikidata.org/wiki/Q390557;wikidata.org/wiki/Q223189
single horizontal target,1,
horizontal target,2,wikidata.org/wiki/Q50162364;wikidata.org/wiki/Q7333274;wikidata.org/wiki/Q112680710;wikidata.org/wiki/Q103044643;wikidata.org/wiki/Q72098259;wikidata.org/wiki/Q72244750;wikidata.org/wiki/Q46043108;wikidata.org/wiki/Q29615786;wikidata.org/wiki/Q27302904;wikidata.org/wiki/Q60511223
latter notion,1,
empty horizontal target,1,
small object,1,wikidata.org/wiki/Q111907565;wikidata.org/wiki/Q114212875;wikidata.org/wiki/Q61672479;wikidata.org/wiki/Q50048;wikidata.org/wiki/Q70950739;wikidata.org/wiki/Q64628310;wikidata.org/wiki/Q112954434;wikidata.org/wiki/Q72932246;wikidata.org/wiki/Q3559;wikidata.org/wiki/Q70060778
virtual double category,4,wikidata.org/wiki/Q19758875;wikidata.org/wiki/Q7669008
formal category,1,wikidata.org/wiki/Q7469326;wikidata.org/wiki/Q52181086;wikidata.org/wiki/Q1361864;wikidata.org/wiki/Q14592615;wikidata.org/wiki/Q6235443;wikidata.org/wiki/Q8253620;wikidata.org/wiki/Q15605306;wikidata.org/wiki/Q465800;wikidata.org/wiki/Q5469972;wikidata.org/wiki/Q8840630
admissible object,1,wikidata.org/wiki/Q114085364
yoneda structure,1,wikidata.org/wiki/Q56687240;wikidata.org/wiki/Q70062421;wikidata.org/wiki/Q77127213;wikidata.org/wiki/Q93201499;wikidata.org/wiki/Q27642289;wikidata.org/wiki/Q27658453;wikidata.org/wiki/Q57555152;wikidata.org/wiki/Q69989101;wikidata.org/wiki/Q30350828;wikidata.org/wiki/Q68984477
horizontal unit,1,wikidata.org/wiki/Q1368097;wikidata.org/wiki/Q16245008;wikidata.org/wiki/Q5300041;wikidata.org/wiki/Q39628031;wikidata.org/wiki/Q81898111;wikidata.org/wiki/Q39382778;wikidata.org/wiki/Q45249884;wikidata.org/wiki/Q48444260;wikidata.org/wiki/Q59160342;wikidata.org/wiki/Q59140294
horizontal unit,2,wikidata.org/wiki/Q5300041;wikidata.org/wiki/Q1368097;wikidata.org/wiki/Q16245008;wikidata.org/wiki/Q37306349;wikidata.org/wiki/Q59478022;wikidata.org/wiki/Q79582397;wikidata.org/wiki/Q34693423;wikidata.org/wiki/Q67109267;wikidata.org/wiki/Q92805937;wikidata.org/wiki/Q87804438
basic theory,4,wikidata.org/wiki/Q26373482;wikidata.org/wiki/Q56091628;wikidata.org/wiki/Q59185456;wikidata.org/wiki/Q57259139;wikidata.org/wiki/Q74352293;wikidata.org/wiki/Q59049870;wikidata.org/wiki/Q95550482;wikidata.org/wiki/Q77736855;wikidata.org/wiki/Q115514419;wikidata.org/wiki/Q82503145
horizontal morphism,3,
classical composition,1,wikidata.org/wiki/Q106860002;wikidata.org/wiki/Q106815697;wikidata.org/wiki/Q106815699;wikidata.org/wiki/Q106859121;wikidata.org/wiki/Q6314061;wikidata.org/wiki/Q1619268;wikidata.org/wiki/Q6484497;wikidata.org/wiki/Q28771317;wikidata.org/wiki/Q5051330;wikidata.org/wiki/Q39415430
coend formula,1,
simplicial set,12,wikidata.org/wiki/Q1467124;wikidata.org/wiki/Q7246618;wikidata.org/wiki/Q56687304;wikidata.org/wiki/Q109012778;wikidata.org/wiki/Q994399;wikidata.org/wiki/Q25098928;wikidata.org/wiki/Q7520909;wikidata.org/wiki/Q113379941;wikidata.org/wiki/Q3915873;wikidata.org/wiki/Q10906333
gamma - set,1,wikidata.org/wiki/Q179651;wikidata.org/wiki/Q22295252;wikidata.org/wiki/Q3257809;wikidata.org/wiki/Q50252248;wikidata.org/wiki/Q50257516;wikidata.org/wiki/Q50256046;wikidata.org/wiki/Q50262575;wikidata.org/wiki/Q50258163;wikidata.org/wiki/Q50251911;wikidata.org/wiki/Q50265525
gamma -,1,wikidata.org/wiki/Q22247;wikidata.org/wiki/Q11523;wikidata.org/wiki/Q1493194;wikidata.org/wiki/Q71962386;wikidata.org/wiki/Q210021;wikidata.org/wiki/Q726648;wikidata.org/wiki/Q116907;wikidata.org/wiki/Q1436035;wikidata.org/wiki/Q14387;wikidata.org/wiki/Q154129
s - module,1,wikidata.org/wiki/Q110323996;wikidata.org/wiki/Q752841;wikidata.org/wiki/Q17128197;wikidata.org/wiki/Q21973572;wikidata.org/wiki/Q41694500;wikidata.org/wiki/Q83933557;wikidata.org/wiki/Q106895211;wikidata.org/wiki/Q11223;wikidata.org/wiki/Q61448864;wikidata.org/wiki/Q7270473
s -,3,wikidata.org/wiki/Q2766547;wikidata.org/wiki/Q11574;wikidata.org/wiki/Q667;wikidata.org/wiki/Q1339;wikidata.org/wiki/Q682;wikidata.org/wiki/Q98973368;wikidata.org/wiki/Q36380;wikidata.org/wiki/Q2739;wikidata.org/wiki/Q36600;wikidata.org/wiki/Q188121;wikidata.org/wiki/Q2766547;wikidata.org/wiki/Q11574;wikidata.org/wiki/Q667;wikidata.org/wiki/Q1339;wikidata.org/wiki/Q682;wikidata.org/wiki/Q36380;wikidata.org/wiki/Q98973368;wikidata.org/wiki/Q2739;wikidata.org/wiki/Q36600;wikidata.org/wiki/Q188121
new homology,2,wikidata.org/wiki/Q30427274;wikidata.org/wiki/Q64387251;wikidata.org/wiki/Q37661839;wikidata.org/wiki/Q56979294;wikidata.org/wiki/Q105584866;wikidata.org/wiki/Q75739631;wikidata.org/wiki/Q75743961;wikidata.org/wiki/Q67232458;wikidata.org/wiki/Q75741423;wikidata.org/wiki/Q29616170
s - module,2,wikidata.org/wiki/Q103206548;wikidata.org/wiki/Q114075301;wikidata.org/wiki/Q17105199;wikidata.org/wiki/Q11223;wikidata.org/wiki/Q17128197;wikidata.org/wiki/Q18611337;wikidata.org/wiki/Q21973572;wikidata.org/wiki/Q110323996;wikidata.org/wiki/Q41694500;wikidata.org/wiki/Q83933557
s -,2,wikidata.org/wiki/Q2766547;wikidata.org/wiki/Q11574;wikidata.org/wiki/Q667;wikidata.org/wiki/Q1339;wikidata.org/wiki/Q682;wikidata.org/wiki/Q98973368;wikidata.org/wiki/Q36380;wikidata.org/wiki/Q2739;wikidata.org/wiki/Q36600;wikidata.org/wiki/Q188121
archimedean place,1,wikidata.org/wiki/Q1897429
structure sheaf,1,wikidata.org/wiki/Q91435750;wikidata.org/wiki/Q5988009;wikidata.org/wiki/Q57733328;wikidata.org/wiki/Q906907;wikidata.org/wiki/Q59470783;wikidata.org/wiki/Q5135342;wikidata.org/wiki/Q3978062;wikidata.org/wiki/Q16959942;wikidata.org/wiki/Q26539004;wikidata.org/wiki/Q57006536
singular homology,1,wikidata.org/wiki/Q1095056;wikidata.org/wiki/Q6056721;wikidata.org/wiki/Q18198970;wikidata.org/wiki/Q56444554;wikidata.org/wiki/Q59664196;wikidata.org/wiki/Q56454815;wikidata.org/wiki/Q58129326;wikidata.org/wiki/Q96016150;wikidata.org/wiki/Q29031052;wikidata.org/wiki/Q96016147
real coefficient,1,wikidata.org/wiki/Q58154394;wikidata.org/wiki/Q59454147;wikidata.org/wiki/Q1179446;wikidata.org/wiki/Q66716813;wikidata.org/wiki/Q5156572;wikidata.org/wiki/Q5883744;wikidata.org/wiki/Q114593060;wikidata.org/wiki/Q115219582;wikidata.org/wiki/Q111898197;wikidata.org/wiki/Q72165978
topological space x,2,wikidata.org/wiki/Q1071795;wikidata.org/wiki/Q179899;wikidata.org/wiki/Q2033899;wikidata.org/wiki/Q5164407;wikidata.org/wiki/Q862761;wikidata.org/wiki/Q2126650;wikidata.org/wiki/Q2032198;wikidata.org/wiki/Q934367;wikidata.org/wiki/Q1148367;wikidata.org/wiki/Q1193403
topological space,12,wikidata.org/wiki/Q179899;wikidata.org/wiki/Q1738274;wikidata.org/wiki/Q1673182;wikidata.org/wiki/Q1139111;wikidata.org/wiki/Q6664613;wikidata.org/wiki/Q4053718;wikidata.org/wiki/Q20878963;wikidata.org/wiki/Q616653;wikidata.org/wiki/Q113461459;wikidata.org/wiki/Q15841121
space x,7,wikidata.org/wiki/Q1933134;wikidata.org/wiki/Q193701;wikidata.org/wiki/Q85018523;wikidata.org/wiki/Q864919;wikidata.org/wiki/Q306643;wikidata.org/wiki/Q5431728;wikidata.org/wiki/Q52152;wikidata.org/wiki/Q23548;wikidata.org/wiki/Q25271;wikidata.org/wiki/Q229058
Gromov norm,1,wikidata.org/wiki/Q4419838
compact Riemann surface,1,wikidata.org/wiki/Q5155294;wikidata.org/wiki/Q55954383;wikidata.org/wiki/Q55934153;wikidata.org/wiki/Q56267023;wikidata.org/wiki/Q7825663;wikidata.org/wiki/Q5948842;wikidata.org/wiki/Q57621881;wikidata.org/wiki/Q444931;wikidata.org/wiki/Q977499;wikidata.org/wiki/Q30052124
Riemann surface,1,wikidata.org/wiki/Q753035;wikidata.org/wiki/Q25305567;wikidata.org/wiki/Q5155294;wikidata.org/wiki/Q59575744;wikidata.org/wiki/Q3505269;wikidata.org/wiki/Q28401481;wikidata.org/wiki/Q5506950;wikidata.org/wiki/Q34671535;wikidata.org/wiki/Q7271996;wikidata.org/wiki/Q114680168
equivalent necessary condition,1,wikidata.org/wiki/Q48971805
necessary condition,3,wikidata.org/wiki/Q100172134;wikidata.org/wiki/Q79330907;wikidata.org/wiki/Q56698274;wikidata.org/wiki/Q74406555;wikidata.org/wiki/Q108046048;wikidata.org/wiki/Q100320637;wikidata.org/wiki/Q60520840;wikidata.org/wiki/Q56701610;wikidata.org/wiki/Q73507279;wikidata.org/wiki/Q58916349
small category,19,wikidata.org/wiki/Q19619110;wikidata.org/wiki/Q63565252;wikidata.org/wiki/Q2590065;wikidata.org/wiki/Q134955;wikidata.org/wiki/Q3658562;wikidata.org/wiki/Q738170;wikidata.org/wiki/Q645694;wikidata.org/wiki/Q48970634;wikidata.org/wiki/Q282129;wikidata.org/wiki/Q6839919
homological dimension,2,wikidata.org/wiki/Q56001464;wikidata.org/wiki/Q56390915;wikidata.org/wiki/Q37687905;wikidata.org/wiki/Q60306560;wikidata.org/wiki/Q58017585;wikidata.org/wiki/Q105519193;wikidata.org/wiki/Q5891412;wikidata.org/wiki/Q115229451;wikidata.org/wiki/Q5570832;wikidata.org/wiki/Q61920164
small cancellative category,1,
cancellative category,1,wikidata.org/wiki/Q537151;wikidata.org/wiki/Q4379519;wikidata.org/wiki/Q7687186;wikidata.org/wiki/Q7284940;wikidata.org/wiki/Q71720358;wikidata.org/wiki/Q51124763;wikidata.org/wiki/Q7246186;wikidata.org/wiki/Q104699997;wikidata.org/wiki/Q104699999;wikidata.org/wiki/Q8852463
sufficient condition,15,wikidata.org/wiki/Q56456971;wikidata.org/wiki/Q48971805;wikidata.org/wiki/Q28458355;wikidata.org/wiki/Q77667850;wikidata.org/wiki/Q42417350;wikidata.org/wiki/Q5508973;wikidata.org/wiki/Q58296907;wikidata.org/wiki/Q59218511;wikidata.org/wiki/Q58119902;wikidata.org/wiki/Q59015847
binary product,3,wikidata.org/wiki/Q1238125;wikidata.org/wiki/Q569347;wikidata.org/wiki/Q767667;wikidata.org/wiki/Q2295009;wikidata.org/wiki/Q8071744;wikidata.org/wiki/Q68957426;wikidata.org/wiki/Q7624582;wikidata.org/wiki/Q210857;wikidata.org/wiki/Q65090820;wikidata.org/wiki/Q114814271
partial morphism category,1,
partial morphism,1,wikidata.org/wiki/Q107713392;wikidata.org/wiki/Q113315215
morphism category,1,wikidata.org/wiki/Q1948412;wikidata.org/wiki/Q2905069;wikidata.org/wiki/Q30715304;wikidata.org/wiki/Q17103180;wikidata.org/wiki/Q7623974;wikidata.org/wiki/Q25304059;wikidata.org/wiki/Q1442189;wikidata.org/wiki/Q91431286;wikidata.org/wiki/Q1196038;wikidata.org/wiki/Q60727552
productive terminal,1,wikidata.org/wiki/Q33668322;wikidata.org/wiki/Q34401407;wikidata.org/wiki/Q27937010;wikidata.org/wiki/Q35645522;wikidata.org/wiki/Q72724071;wikidata.org/wiki/Q36012501;wikidata.org/wiki/Q24538617;wikidata.org/wiki/Q51594197;wikidata.org/wiki/Q57721505;wikidata.org/wiki/Q44905496
such category,12,wikidata.org/wiki/Q217413;wikidata.org/wiki/Q4048908;wikidata.org/wiki/Q8732942;wikidata.org/wiki/Q6964088;wikidata.org/wiki/Q87711223;wikidata.org/wiki/Q24571879;wikidata.org/wiki/Q55322495;wikidata.org/wiki/Q4048796;wikidata.org/wiki/Q572316;wikidata.org/wiki/Q3760;wikidata.org/wiki/Q217413;wikidata.org/wiki/Q4048908;wikidata.org/wiki/Q8732942;wikidata.org/wiki/Q6964088;wikidata.org/wiki/Q87711223;wikidata.org/wiki/Q24571879;wikidata.org/wiki/Q55322495;wikidata.org/wiki/Q4048796;wikidata.org/wiki/Q572316;wikidata.org/wiki/Q3760
valuable tool,1,wikidata.org/wiki/Q72545062;wikidata.org/wiki/Q69990184;wikidata.org/wiki/Q73830252;wikidata.org/wiki/Q38161978;wikidata.org/wiki/Q74356563;wikidata.org/wiki/Q68788875;wikidata.org/wiki/Q97544310;wikidata.org/wiki/Q38122313;wikidata.org/wiki/Q85574118;wikidata.org/wiki/Q67272460
real world datum,1,wikidata.org/wiki/Q55631277;wikidata.org/wiki/Q105493193;wikidata.org/wiki/Q87933034;wikidata.org/wiki/Q31130672;wikidata.org/wiki/Q66404606;wikidata.org/wiki/Q89772120;wikidata.org/wiki/Q106967346;wikidata.org/wiki/Q79109617;wikidata.org/wiki/Q89153787;wikidata.org/wiki/Q107214339
real world,1,wikidata.org/wiki/Q743738;wikidata.org/wiki/Q93775249;wikidata.org/wiki/Q325866;wikidata.org/wiki/Q7301115;wikidata.org/wiki/Q7301113;wikidata.org/wiki/Q7301112;wikidata.org/wiki/Q10852319;wikidata.org/wiki/Q3931054;wikidata.org/wiki/Q15096862;wikidata.org/wiki/Q27726504
world datum,1,wikidata.org/wiki/Q1074021;wikidata.org/wiki/Q17102557;wikidata.org/wiki/Q4119633;wikidata.org/wiki/Q64062569;wikidata.org/wiki/Q55631277;wikidata.org/wiki/Q96334993;wikidata.org/wiki/Q51453549;wikidata.org/wiki/Q105493193;wikidata.org/wiki/Q87933034;wikidata.org/wiki/Q66404606
several approach,1,wikidata.org/wiki/Q58529296;wikidata.org/wiki/Q77675959;wikidata.org/wiki/Q56636560;wikidata.org/wiki/Q72648615;wikidata.org/wiki/Q58188307;wikidata.org/wiki/Q57709886;wikidata.org/wiki/Q68896090;wikidata.org/wiki/Q35262878;wikidata.org/wiki/Q58466637;wikidata.org/wiki/Q37051700
vector space,10,wikidata.org/wiki/Q125977;wikidata.org/wiki/Q2004761;wikidata.org/wiki/Q5156614;wikidata.org/wiki/Q91672132;wikidata.org/wiki/Q7642975;wikidata.org/wiki/Q46996054;wikidata.org/wiki/Q96372310;wikidata.org/wiki/Q1455249;wikidata.org/wiki/Q1572357;wikidata.org/wiki/Q766774
homology functor,1,wikidata.org/wiki/Q115345447;wikidata.org/wiki/Q114077695;wikidata.org/wiki/Q56003591;wikidata.org/wiki/Q101119493;wikidata.org/wiki/Q114037416
arbitrary set,1,wikidata.org/wiki/Q107371041;wikidata.org/wiki/Q78068637;wikidata.org/wiki/Q56138886;wikidata.org/wiki/Q59450194;wikidata.org/wiki/Q51104545;wikidata.org/wiki/Q1916202;wikidata.org/wiki/Q20767226;wikidata.org/wiki/Q47470461;wikidata.org/wiki/Q59486365;wikidata.org/wiki/Q61609666
combinatorial persistence,1,wikidata.org/wiki/Q28077662;wikidata.org/wiki/Q36546319
common categorical framework,1,
categorical framework,3,wikidata.org/wiki/Q104917601;wikidata.org/wiki/Q21135239;wikidata.org/wiki/Q112876891;wikidata.org/wiki/Q104003429;wikidata.org/wiki/Q113317848;wikidata.org/wiki/Q114692253;wikidata.org/wiki/Q34627027;wikidata.org/wiki/Q114683090;wikidata.org/wiki/Q114682905;wikidata.org/wiki/Q114692223
generalized rank function,1,wikidata.org/wiki/Q66717398;wikidata.org/wiki/Q52589379;wikidata.org/wiki/Q66716892
generalized rank,1,wikidata.org/wiki/Q68162302;wikidata.org/wiki/Q60307030;wikidata.org/wiki/Q60547205;wikidata.org/wiki/Q57735034;wikidata.org/wiki/Q91936373;wikidata.org/wiki/Q31038646;wikidata.org/wiki/Q30560714;wikidata.org/wiki/Q94957392;wikidata.org/wiki/Q50349482;wikidata.org/wiki/Q46972000
rank function,1,wikidata.org/wiki/Q5591878;wikidata.org/wiki/Q60173606;wikidata.org/wiki/Q36119802;wikidata.org/wiki/Q57562651;wikidata.org/wiki/Q28305415;wikidata.org/wiki/Q28598431;wikidata.org/wiki/Q33345030;wikidata.org/wiki/Q105434600;wikidata.org/wiki/Q86440935;wikidata.org/wiki/Q47211469
target category,2,wikidata.org/wiki/Q15284945;wikidata.org/wiki/Q1138868;wikidata.org/wiki/Q814689;wikidata.org/wiki/Q64006792;wikidata.org/wiki/Q60345185;wikidata.org/wiki/Q282675;wikidata.org/wiki/Q1047579;wikidata.org/wiki/Q178837;wikidata.org/wiki/Q7145132;wikidata.org/wiki/Q92785431
persistence function,1,wikidata.org/wiki/Q59442819;wikidata.org/wiki/Q24646943;wikidata.org/wiki/Q104135086;wikidata.org/wiki/Q30801688;wikidata.org/wiki/Q74063773;wikidata.org/wiki/Q42585788;wikidata.org/wiki/Q34466396;wikidata.org/wiki/Q39692928;wikidata.org/wiki/Q52047621;wikidata.org/wiki/Q48604332
bottleneck distance,1,wikidata.org/wiki/Q52844426;wikidata.org/wiki/Q114195523;wikidata.org/wiki/Q88196316;wikidata.org/wiki/Q80516102;wikidata.org/wiki/Q36062022;wikidata.org/wiki/Q109771954;wikidata.org/wiki/Q37022683
novel framework,1,wikidata.org/wiki/Q63402618;wikidata.org/wiki/Q21145861;wikidata.org/wiki/Q112953374;wikidata.org/wiki/Q107510317;wikidata.org/wiki/Q82675634;wikidata.org/wiki/Q111436615;wikidata.org/wiki/Q58763624;wikidata.org/wiki/Q112284249;wikidata.org/wiki/Q79363133;wikidata.org/wiki/Q62727428
classical equality,1,wikidata.org/wiki/Q59719040;wikidata.org/wiki/Q51469888;wikidata.org/wiki/Q51537461
vector space,22,wikidata.org/wiki/Q77873528;wikidata.org/wiki/Q7546421;wikidata.org/wiki/Q3061902;wikidata.org/wiki/Q3527205;wikidata.org/wiki/Q6867878;wikidata.org/wiki/Q114559255;wikidata.org/wiki/Q25303670;wikidata.org/wiki/Q8702350;wikidata.org/wiki/Q114559305;wikidata.org/wiki/Q5051854
many category,1,wikidata.org/wiki/Q8855670;wikidata.org/wiki/Q35527893;wikidata.org/wiki/Q38444217;wikidata.org/wiki/Q35686893;wikidata.org/wiki/Q84755344;wikidata.org/wiki/Q39898425;wikidata.org/wiki/Q95784781;wikidata.org/wiki/Q42877779;wikidata.org/wiki/Q46140983;wikidata.org/wiki/Q21827
persistence module,3,wikidata.org/wiki/Q59442799;wikidata.org/wiki/Q59442795;wikidata.org/wiki/Q59442794;wikidata.org/wiki/Q89943002;wikidata.org/wiki/Q59891226;wikidata.org/wiki/Q59442771;wikidata.org/wiki/Q59442792;wikidata.org/wiki/Q59942728;wikidata.org/wiki/Q114195533;wikidata.org/wiki/Q115246500
colorable rank,1,
persistence diagram,1,wikidata.org/wiki/Q59483085;wikidata.org/wiki/Q104091873;wikidata.org/wiki/Q59483047;wikidata.org/wiki/Q59442772;wikidata.org/wiki/Q56906104;wikidata.org/wiki/Q59442801;wikidata.org/wiki/Q92560097;wikidata.org/wiki/Q56905958;wikidata.org/wiki/Q33495288;wikidata.org/wiki/Q108127154
multicolored bottleneck distance,1,
multicolored bottleneck,1,
bottleneck distance,1,wikidata.org/wiki/Q88196316;wikidata.org/wiki/Q80516102;wikidata.org/wiki/Q36062022;wikidata.org/wiki/Q109771954;wikidata.org/wiki/Q37022683;wikidata.org/wiki/Q52844426;wikidata.org/wiki/Q114195523
semisimple abelian category,1,
abelian category,17,wikidata.org/wiki/Q114682377;wikidata.org/wiki/Q105624230;wikidata.org/wiki/Q56384761;wikidata.org/wiki/Q56990972;wikidata.org/wiki/Q56990978;wikidata.org/wiki/Q56990991;wikidata.org/wiki/Q2844249;wikidata.org/wiki/Q56990968;wikidata.org/wiki/Q4677987;wikidata.org/wiki/Q105316215;wikidata.org/wiki/Q114682377;wikidata.org/wiki/Q105624230;wikidata.org/wiki/Q56990978;wikidata.org/wiki/Q56384761;wikidata.org/wiki/Q56990972;wikidata.org/wiki/Q56990991;wikidata.org/wiki/Q2844249;wikidata.org/wiki/Q56990968;wikidata.org/wiki/Q4677987;wikidata.org/wiki/Q105316215
multicolored persistent homology,1,
persistent homology,1,wikidata.org/wiki/Q17099562;wikidata.org/wiki/Q59442769;wikidata.org/wiki/Q63664556;wikidata.org/wiki/Q58472547;wikidata.org/wiki/Q59030292;wikidata.org/wiki/Q59442793;wikidata.org/wiki/Q37261969;wikidata.org/wiki/Q103044999;wikidata.org/wiki/Q93851680;wikidata.org/wiki/Q63353844
topological space,34,wikidata.org/wiki/Q3360627;wikidata.org/wiki/Q110874862;wikidata.org/wiki/Q7825022;wikidata.org/wiki/Q2000555;wikidata.org/wiki/Q13401517;wikidata.org/wiki/Q6664613;wikidata.org/wiki/Q48973609;wikidata.org/wiki/Q57587765;wikidata.org/wiki/Q5472501;wikidata.org/wiki/Q16911578
group action,5,wikidata.org/wiki/Q3533467;wikidata.org/wiki/Q288465;wikidata.org/wiki/Q17098482;wikidata.org/wiki/Q123708;wikidata.org/wiki/Q97396140;wikidata.org/wiki/Q4033353;wikidata.org/wiki/Q5535486;wikidata.org/wiki/Q5139805;wikidata.org/wiki/Q16951242;wikidata.org/wiki/Q16058051
point cloud datum,1,wikidata.org/wiki/Q105864751;wikidata.org/wiki/Q59893641;wikidata.org/wiki/Q59442800;wikidata.org/wiki/Q74827517;wikidata.org/wiki/Q74827369;wikidata.org/wiki/Q99303307;wikidata.org/wiki/Q57685384;wikidata.org/wiki/Q57685435;wikidata.org/wiki/Q57858918;wikidata.org/wiki/Q57685453
