candidate,frequency,links
tensor category,3,wikidata.org/wiki/Q1945014;wikidata.org/wiki/Q17103860;wikidata.org/wiki/Q30088257;wikidata.org/wiki/Q62443690;wikidata.org/wiki/Q13409892;wikidata.org/wiki/Q1758924;wikidata.org/wiki/Q1429453;wikidata.org/wiki/Q1073869;wikidata.org/wiki/Q21447895;wikidata.org/wiki/Q8843500
defect tqft,2,
spherical fusion category,1,wikidata.org/wiki/Q1916962;wikidata.org/wiki/Q3873195;wikidata.org/wiki/Q108870270
spherical fusion,1,wikidata.org/wiki/Q7576717;wikidata.org/wiki/Q1916962;wikidata.org/wiki/Q85802582;wikidata.org/wiki/Q3873195;wikidata.org/wiki/Q72878071;wikidata.org/wiki/Q22329010;wikidata.org/wiki/Q77542946;wikidata.org/wiki/Q108870270;wikidata.org/wiki/Q60163617;wikidata.org/wiki/Q92983391
fusion category,1,wikidata.org/wiki/Q91854310;wikidata.org/wiki/Q100343653;wikidata.org/wiki/Q2291593;wikidata.org/wiki/Q378183;wikidata.org/wiki/Q6556360;wikidata.org/wiki/Q106080;wikidata.org/wiki/Q1360044;wikidata.org/wiki/Q484790;wikidata.org/wiki/Q920675;wikidata.org/wiki/Q7045566
group orbifold,1,wikidata.org/wiki/Q74409533;wikidata.org/wiki/Q12797591;wikidata.org/wiki/Q113880845;wikidata.org/wiki/Q115380980;wikidata.org/wiki/Q115238934;wikidata.org/wiki/Q56973348;wikidata.org/wiki/Q56830637;wikidata.org/wiki/Q115335814;wikidata.org/wiki/Q74412205;wikidata.org/wiki/Q115231099
finite group,7,wikidata.org/wiki/Q1057968;wikidata.org/wiki/Q7574823;wikidata.org/wiki/Q7784284;wikidata.org/wiki/Q3075177;wikidata.org/wiki/Q7116928;wikidata.org/wiki/Q5256410;wikidata.org/wiki/Q7051824;wikidata.org/wiki/Q6951483;wikidata.org/wiki/Q6664682;wikidata.org/wiki/Q797816
separable Frobenius algebra,1,
Frobenius algebra,2,wikidata.org/wiki/Q105633485;wikidata.org/wiki/Q59015390;wikidata.org/wiki/Q58174558;wikidata.org/wiki/Q57006531;wikidata.org/wiki/Q112879907;wikidata.org/wiki/Q112879910;wikidata.org/wiki/Q104173622;wikidata.org/wiki/Q1361031;wikidata.org/wiki/Q5505100;wikidata.org/wiki/Q114614686
Viro state sum,1,wikidata.org/wiki/Q60308781
Viro state,1,wikidata.org/wiki/Q191;wikidata.org/wiki/Q38801790;wikidata.org/wiki/Q60308781;wikidata.org/wiki/Q64382904;wikidata.org/wiki/Q21558674;wikidata.org/wiki/Q45745419;wikidata.org/wiki/Q44214880;wikidata.org/wiki/Q41338018;wikidata.org/wiki/Q40984011;wikidata.org/wiki/Q44094071
state sum construction,1,
