keyword,in_nlab
classifying spaces of discrete group,False
classifying topos,True
clifford system,False
clifford theory,False
clone,True
closed,False
closed bicategory,False
closed category,True
closed interval,False
closed left ideal,False
closed midpoint algebra,False
closed model category,False
closed monoidal category,True
closed morphism,True
closed multicategory,False
closed subcategory,False
closeness space,False
closure,False
closure operator,True
closure space,False
clot,False
club,True
cluster-tilting subcategory,False
co-category,False
co-groupoid,False
coaction,False
coalgebra,True
coalgebraic real analysis,False
coalgebroid,False
coarse-graining,False
cobordism,True
cocartesian fibration,False
cocategory,True
cocommutative hopf algebra,False
cocomplete,False
cocompletenes,False
cocompletion,True
cocontinuou,False
codensity,False
codescent object,False
codomain functor,False
coequalizer,True
coequalizer completion,False
coextensivity,False
cofibrant generation,False
cofibration,True
cofibration category,True
cofree cartesian differential category,False
cofree coalgebra,True
cogenerator,True
cohereditary operator,False
coherence,False
coherence theorem,True
coherent category,True
coherent domain,False
coherent functor,True
coherent logic,True
coherent space,True
coherent unit action,False
cohesion,False
cohomological descent,True
cohomological dimension,True
cohomology,True
cohomology categorical group,False
cohomology of crossed module,False
cohomotopy functor,False
cole spectrum,False
colimit,True
colimit of representable functor,False
colimiting cone,False
collage construction,False
collapsing scheme,False
colocalization,True
colored operad,False
coloured operad,False
combinatorial homology,False
combinatorial model category,True
combinatorial spectra,False
combinatorial structure,False
combinatoric,False
comma category,True
comma object,True
commutative $c^*$-algebra,False
commutative associative algebra,False
commutative cube,False
commutative diagram,True
commutative frobenius object,False
commutative semigroup,False
commutative shell,False
commutativity of bilimit,False
commutator,True
commuting morphism,False
comodule,True
comonad,True
comonoid,True
comonoidal monad,False
comorphism,True
compact,False
compact closed category,True
compact closure,False
compact hausdor. space,False
compact hausdorff space,False
compact lie group,True
compact morphism,False
compact ordered space,True
compact quantum group,False
compact regular frame,False
compact space,True
compactification,True
compactnes,False
companion,False
comparison theorem,True
compatibility resolution,False
compatible system,False
complement,True
complemented sublocale,False
complemented subtopos,False
complete distributivity,False
complete object,False
complete partial order,False
complete q-category,False
complete scale,False
complete segal space,True
complete spread,True
completely distributive,False
completely distributive q-category,False
completely distributive quantale-enriched category,False
completenes,False
completion,True
completion of metric space,False
complex manifold,True
complicial identity,False
complicial set,True
component,False
composition of homotopy,False
comprehensive factorization,False
computer algebra,False
comp�pair,False
comp�subgroup,False
conceptual completenes,False
concrete geometrical category,False
concurrency,False
concurrent game semantic,False
concurrent process,False
conditional expectation,True
conditional product distribution,False
conformal,False
congruence,True
congruence distributivity,False
congruence modularity,False
conjoint,False
conjugacy class of subgroup,False
conjugation,False
connected object,True
connection,True
connective spectrum,True
connes fusion tensor product,False
constructible cosheaf,False
construction datum,False
constructive complete distributivity,False
constructive mathematics,True
context,True
contextual category,False
continuation,False
continuation passing style,False
continuous $g$-spectrum,False
continuous lattice,False
continuous quantale-enriched category,False
continuous real-valued function,False
continuous t-norm,False
contravariant functor,True
contravariant powerset,False
control theory,True
convergence,True
convolution,False
convolution tensor product,False
copower object,False
copresentable object,False
copresheaf monad,False
core,True
cored category,False
coreflection,False
coreflective hull,False
corelation,False
coring,True
cosheaf,True
cosheaf homology,False
cosheafification,False
cospan,True
cospan category,False
cototal span,False
cotriple,False
cotriple homology,False
countable localic meets of subspace,False
countable neighbourhood property,False
covariant presheaf,False
cover,True
cover relation,False
covering,True
covering morphism,False
covering projection,False
covering space,True
critical lemma,False
crossed bimodule,False
crossed internal category,False
crossed module,True
crossed n-cube,True
crossed product,False
crossed resolution,False
crossed square,True
crown,False
cubical category,True
cubical nerve,False
cubical omega-category,False
cubical set,True
cubical t-complex,True
cuntz-krieger algebra,False
curry-howard isomorphism,False
curvature,True
cyclic homology,True
cyclic object,True
cyclic operad,True
cyclic spectrum,False
cyclic system,False
cylinder object,True
cylinders and homotopy,False
